time,layout,data
2023/07/03 16:50:39.458598239,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.558105903,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.658091434,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.758765149,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.858735502,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.958838844,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.58843122,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.158845807,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.258743655,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.358930096,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.458876125,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.558824347,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.658804739,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.758839003,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.858805039,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.958849914,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.58814479,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.158850787,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.258804091,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.358820192,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.458838819,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.558799245,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.658821499,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.758829104,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.858787707,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.958842591,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.58808910,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.158819873,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.258813916,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.358829427,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.458819892,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.558727753,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.658844796,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.758830412,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.858820095,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.958851657,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.58798632,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.158800818,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.258809940,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.358782623,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.458803205,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.558812196,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.658745135,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.758816323,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.858812149,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.958816402,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.58828079,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.158733276,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.258801661,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.358857461,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.458798215,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.558789936,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.658812325,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.758757097,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.858818648,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.958862677,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.58686512,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.158162945,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.258168512,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.358786952,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.458744299,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.558769182,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.658145908,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.758018895,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.858738024,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.958000304,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.58009309,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.158784966,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.258750720,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.358726452,"{'dim': [], 'data_offset': 0}",[]
