time,layout,data
2023/07/03 16:50:39.357184041,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.458439971,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.558007648,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.658025470,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.758700117,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.858674617,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.958592180,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.58596639,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.158605124,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.258567013,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.358682510,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.458634851,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.558580859,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.658558957,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.758591778,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.858564297,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.958603471,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.58567124,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.158601488,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.258557167,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.358573067,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.458593848,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.558551239,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.658572991,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.758574836,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.858544189,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.958595607,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.58561475,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.158572689,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.258567873,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.358578195,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.458572838,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.558662139,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.658593864,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.758583517,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.858572599,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.958603631,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.58551778,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.158554565,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.258563116,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.358536230,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.458554157,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.558565262,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.658570386,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.758570420,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.858563331,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.958567905,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.58576637,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.158558568,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.258560427,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.358611659,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.458551902,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.558543192,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.658565902,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.758507738,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.858573136,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.958616935,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.58597414,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.157913536,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.257923913,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.358535379,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.458497725,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.558524422,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.657896629,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.757886586,"{'dim': [], 'data_offset': 0}",[]
