time,layout,data
2023/07/03 16:50:39.357092990,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.458333862,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.558049366,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.657866031,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.758542290,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.858521289,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:39.958628799,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.58633598,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.158643076,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.258603121,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.358720091,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.458673504,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.558617318,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.658596237,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.758629139,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.858601497,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:40.958639789,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.58603712,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.158640081,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.258593214,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.358609185,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.458630256,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.558589070,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.658612325,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.758616314,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.858579896,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:41.958632927,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.58598345,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.158609067,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.258604552,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.358617800,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.458609967,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.558509051,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.658634471,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.758620006,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.858608727,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:42.958638897,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.58588326,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.158590723,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.258599033,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.358572298,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.458592018,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.558602091,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.658605763,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.758607189,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.858601353,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:43.958604564,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.58616171,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.158594756,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.258596405,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.358648167,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.458588371,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.558580753,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.658602080,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.758547373,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.858609034,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:44.958654014,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.58633792,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.157950034,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.257960792,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.358574142,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.458534013,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.558560049,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.657933869,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.757938604,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.858527228,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:45.957920584,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.57928677,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.158576404,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.258542238,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.358516888,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.458507940,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.558513770,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.658498710,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.758506893,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.858534806,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:46.958555351,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.58582803,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.158529172,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.258513381,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.357864271,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.457944862,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.557910929,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.657852549,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.758494326,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.858527017,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:47.958528230,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.57819878,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.157823005,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.257952430,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.357824390,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.458353016,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.557887772,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.658511818,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.758556834,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.857860225,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:48.958534453,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.58510559,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.158480034,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.257815096,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.358521356,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.458488898,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.558480376,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.658466282,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.757752812,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.857843556,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:49.957887362,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.57822812,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.157951007,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.257815276,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.357860044,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.458004970,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.558046853,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.657981094,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.757867757,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.858823097,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:50.957735175,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.58219171,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.157834673,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.257854606,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.357854411,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.457864625,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.558484525,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.658213441,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.758256818,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.858443675,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:51.958114341,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.58552180,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.158213740,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.258473857,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.358561939,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.458437633,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.558409096,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.658429721,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.758402407,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.858412452,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:52.958437265,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.58441361,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.158455536,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.258522991,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.358484466,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.458471410,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.558475886,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.658508135,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.758477827,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.858515837,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:53.958508711,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.58632532,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.158484193,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.258543133,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.358472539,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.458519418,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.558401656,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.658535716,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.758520355,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.857811131,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:54.958588763,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.58519793,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.158542806,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.258589586,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.358534423,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.457853164,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.559002425,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.658585432,"{'dim': [], 'data_offset': 0}",[]
2023/07/03 16:50:55.756573239,"{'dim': [], 'data_offset': 0}",[]
